Agency_Id,Service_Id,ServiceContact_ServiceContact,ServiceSystem_DateOfLastCompleteUpdate,ServiceOption_Status,ServiceOption_WebsiteVisibility,ServiceAccount_ServiceAccount_Both,ServiceAccount_ServiceAccount,ServiceOption_CallCenterList,ServiceSystem_Name,ServiceCustom_Wa211serviceAffectedByCovid19,ServiceCustom_WaPhoneworkerNote,ServiceSystem_Description,ServiceSystem_PhoneMain,ServiceCustom_Phone1Ext,ServiceCustom_Phone1Description,ServiceSystem_EmailAddress,ServiceSystem_Websiteurl,ServiceProgram_ServiceProgram_Both,ServiceProgram_ServiceProgram,ServiceSite_ServiceSite_Both,ServiceSite_ServiceSite,ServiceHoursofoperation_ModuleHoursofoperation,ServiceOption_DaysOfTheWeek,ServiceOption_HoursOfService,ServiceCustom_Wa211viewHoursStyle,ServiceSystem_HoursOfOperation,ServiceTaxonomy_ModuleServicepost,ServiceGeotagus_ServiceGeotagus,ServiceCustom_ServiceAka,ServiceCustom_Wa211HoursStyleGuide,ServiceCustom_Wa211HoursStyle,ServiceOption_FocusPopulations,ServiceOption_AgeGroups,ServiceOption_DisabilitiesHealthConditions
4943,8349,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Financial Aid Services offered at Western Washington University,,,"Provides a broad spectrum of federal, state, institutional, and private programs to students who find it difficult or impossible to attend WWU without financial assistance. Forms of aid include loans, work/study, scholarships, and grants.",360-650-3470,,,financialaid@wwu.edu,http://www.finaid.wwu.edu,"[{""Program_Id"":5656,""Name"":""Financial Aid Services""}]","[{""Program_Id"":5656}]","[{""Site_Id"":5483,""Name"":""Western Washington University's Financial Aid Department""}]","[{""Site_Id"":5483}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""HL-8010""},{""taxonomy_code"":""HL-8000.9500""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Western Washington University, WWU, Financial Aid Services, Financial Aid Department",,,,,
4943,8952,"[{""Contact_Id"":3140}]",2022/02/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Student Counseling offered at Western Washington University's Counseling Center,,,"The Counseling Center provides Western Washington University students with a variety of counseling, skill-training and self-help resources designed to assist with academic progress and personal development.",360-650-3164,,,,https://www.wwu.edu,"[{""Program_Id"":4840,""Name"":""Student Counseling Center""}]","[{""Program_Id"":4840}]","[{""Site_Id"":5123,""Name"":""Western Washington University's Counseling Center""}]","[{""Site_Id"":5123}]","{""open"":{""Monday"":[[[8,30],[16,30]]],""Tuesday"":[[[10,0],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Friday"":[[[8,30],[16,30]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M W Th F, 8:30-4:30; Tu, 10am-4:30pm.","[{""taxonomy_code"":""HL-8120.7950""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Western Washington University, WWU, Student Counseling Center, Counseling Center",,,,,
4943,19665,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Admissions offered at Western Washington University,,,Provides public four-year institution of higher learning.,360-650-3440,,,,https://admissions.wwu.edu,"[{""Program_Id"":8621,""Name"":""Admissions""}]","[{""Program_Id"":8621}]","[{""Site_Id"":107,""Name"":""Western Washington University""}]","[{""Site_Id"":107}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""HL-8120.1300""},{""taxonomy_code"":""HD-6000.1300-650""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Western Washington University, WWU, Admissions, (Western Washington University)",,,,,
4943,24914,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Hearing Aid Bank offered at Western Washington University,,,Offers donated hearing aids to those in need.,360-650-3881,,,,https://chss.wwu.edu/csd/hearing-aid-bank,"[{""Program_Id"":19205,""Name"":""Hearing Aid Bank""}]","[{""Program_Id"":19205}]","[{""Site_Id"":11884,""Name"":""Western Washington University's Hearing Aid Bank""}]","[{""Site_Id"":11884}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-5pm.","[{""taxonomy_code"":""LH-0600.3000-300""},{""taxonomy_code"":""TI-1800.5000-300""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""},{""scope"":""county"",""county"":""Skagit"",""state"":""WA""}]","Hearing Aid Bank, Hearing Aid, Hearing Aid Bank WWU, Hearing Aid Bank Western Washington University",,,,"[""Older Adults (65+)"",""Adults (25-64)"",""Young Adults (18-24)""]",
4947,4734,"[{""Contact_Id"":4724}]",2022/08/17,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Homeless Student Liaison offered at Ferndale School District,,,Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or helping them enroll in their local school without delay.,360-383-9200,,,,http://www.ferndalesd.org,"[{""Program_Id"":6556,""Name"":""Homeless Student Liaison""}]","[{""Program_Id"":6556}]","[{""Site_Id"":742,""Name"":""Ferndale School District""}]","[{""Site_Id"":742}]","{""open"":{""Monday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Friday"":[[[8,30],[16,30]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8:30am-4:30pm.","[{""taxonomy_code"":""HH-3000""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Ferndale School District, School District (Whatcom County), School District (Whatcom), School District - Whatcom County, School Districts (Whatcom County), School Districts (Whatcom), School Districts - Whatcom County, Whatcom County School Districts, Whatcom School Districts, Homeless Student Liaison, (Ferndale School District)",,,,,
4947,4735,"[{""Contact_Id"":4724}]",2022/08/17,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",District Office offered at Ferndale School District,,,Main phone number for the Ferndale School District.,360-383-9200,,,,http://www.ferndalesd.org,"[{""Program_Id"":664,""Name"":""District Office""}]","[{""Program_Id"":664}]","[{""Site_Id"":742,""Name"":""Ferndale School District""}]","[{""Site_Id"":742}]","{""open"":{""Monday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Friday"":[[[8,30],[16,30]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8:30am-4:30pm.","[{""taxonomy_code"":""HD-8200""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Ferndale School District, School District (Whatcom County), School District (Whatcom), School District - Whatcom County, School Districts (Whatcom County), School Districts (Whatcom), School Districts - Whatcom County, Whatcom County School Districts, Whatcom School Districts, Ferndale School District - Main Office, (Ferndale School District)",,,,,
4952,13822,"[{""Contact_Id"":1424}]",2021/10/18,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Food Bank offered at Point Roberts Food Bank,,,The Point Roberts Food Bank serves the Point Roberts community.  Home delivery is available up to 7 days a week for those who are homebound.,360-945-1711,,,,http://www.harmonywebdesigns.com/pointrobertschurch/reachingout.htm,"[{""Program_Id"":3077,""Name"":""Food Bank""}]","[{""Program_Id"":3077}]","[{""Site_Id"":3426,""Name"":""Point Roberts Food Bank""}]","[{""Site_Id"":3426}]","{""open"":{""Wednesday"":[[[8,0],[10,30]]]},""closed"":[]}","[""Wednesday""]",,,"W, 8am-10:30am.","[{""taxonomy_code"":""BD-1800.2000""}]","[{""scope"":""zip"",""zip"":""98281""}]","Point Roberts Food Bank, Pt Roberts Food Bank, Pt. Roberts Food Bank, Basic Subsistence - Food, (Point Roberts Food Bank)",,,,,
4954,18028,"[{""Contact_Id"":2129}]",2021/12/16,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Lord's Table Food Bank offered at River of Life Community Church,,,The Lord's Table Food Bank provides food for those who need it in the Acme area.,360-592-2279,,,,,"[{""Program_Id"":170,""Name"":""Lord's Table Food Bank""}]","[{""Program_Id"":170}]","[{""Site_Id"":192,""Name"":""River of Life Community Church""}]","[{""Site_Id"":192}]",,,,,"2nd & 4th Sa, 10am-noon.","[{""taxonomy_code"":""BD-1800.2000""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""},{""scope"":""zip"",""zip"":""98220""}]",Lord's Table Food Bank offered at River of Life Community Church,,,,,
4955,9964,"[{""Contact_Id"":2822}]",2021/11/29,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Emergency Financial Assistance offered at Saint Vincent de Paul Sacred Heart Church,,,"Provides small (one-time) amounts of financial help for food voucher, gas voucher, and bus fare.",360-734-2722,,,,https://www.shbham.org,"[{""Program_Id"":4118,""Name"":""Emergency Financial Assistance""}]","[{""Program_Id"":4118}]","[{""Site_Id"":4667,""Name"":""Saint Vincent de Paul Sacred Heart Church""}]","[{""Site_Id"":4667}]","{""open"":{""Sunday"":[[[0,0],[23,59]]],""Monday"":[[[0,0],[23,59]]],""Tuesday"":[[[0,0],[23,59]]],""Wednesday"":[[[0,0],[23,59]]],""Thursday"":[[[0,0],[23,59]]],""Friday"":[[[0,0],[23,59]]],""Saturday"":[[[0,0],[23,59]]]},""closed"":[]}","[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,24 hours daily.,"[{""taxonomy_code"":""BT-8300.2500""},{""taxonomy_code"":""BT-8300.1000""},{""taxonomy_code"":""BD-1800.2250""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Saint Vincent de Paul - Sacred Heart Church, Sacred Heart Church, Sacred Heart Church - Saint Vincent de Paul, Saint Vincent de Paul (Sacred Hearth Church), St Vincent de Paul, St. Vincent de Paul, SVDP, Emergency Financial Assistance, (Saint Vincent de Paul (Sacred Heart Church))",,,,,
4962,5101,"[{""Contact_Id"":807}]",2022/03/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Clothing offered at Community Assistance Program,,,"Provides free clothing for all ages, as well as bedding, towels, and other linens.",360-392-8484,,,blainecap@comcast.net,https://www.blainecap.org,"[{""Program_Id"":9200,""Name"":""Clothing""}]","[{""Program_Id"":9200}]","[{""Site_Id"":7217,""Name"":""Community Assistance Program""}]","[{""Site_Id"":7217}]","{""open"":{""Monday"":[[[9,0],[12,0]]],""Wednesday"":[[[17,0],[19,0]]],""Friday"":[[[9,0],[12,0]]]},""closed"":[]}","[""Friday"",""Wednesday"",""Monday""]",,,"M F, 9am-noon; W, 5-7pm.","[{""taxonomy_code"":""BM-3000.1000""},{""taxonomy_code"":""BM-6500.1500-250""}]","[{""scope"":""city"",""city"":""Custer"",""state"":""WA""},{""scope"":""city"",""city"":""Blaine"",""state"":""WA""}]","Community Assistance Program, Clothing, Clothing Bank",,,,,
4962,7585,"[{""Contact_Id"":807}]",2022/03/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Food Connection offered by Community Assistance Program at Blaine Christian Fellowship,,,Connects surplus food from food service establishments and other sources to registered families. Limited delivery is available for those not able to pick up the food themselves. Types and quantities of foods available will vary from week to week.,360-392-8484,,,food@blainecap.org,https://blainecap.org/food-connection/,"[{""Program_Id"":6318,""Name"":""Food Connection""}]","[{""Program_Id"":6318}]","[{""Site_Id"":5892,""Name"":""Community Assistance Program at Blaine Christian Fellowship""}]","[{""Site_Id"":5892}]","{""open"":{""Wednesday"":[[[5,0],[18,30]]]},""closed"":[]}","[""Tuesday""]",,,"Box pick-up: Tu, 2:30-3:30pm.","[{""taxonomy_code"":""BD-2400.2590""},{""taxonomy_code"":""BD-1800.1000""}]","[{""scope"":""city"",""city"":""Custer"",""state"":""WA""},{""scope"":""city"",""city"":""Blaine"",""state"":""WA""}]",Food Connection offered by Community Assistance Program at Blaine Christian Fellowship,,,,,
4962,14093,"[{""Contact_Id"":807}]",2022/03/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Emergency Financial Assistance offered by Community Assistance Program at Christ Episcopal Church,,,"Provides crisis need assistance (utilities, prescription medication, gasoline, short term lodging (1-3 day motel stays) and food vouchers) for Blaine, Birch Bay, Pt. Roberts, and Custer residents only. Call to make an appointment.",360-392-8484,,,info@blainecap.org,https://blainecap.org/crisis-assistance,"[{""Program_Id"":292,""Name"":""Emergency Financial Assistance""}]","[{""Program_Id"":292}]","[{""Site_Id"":333,""Name"":""Community Assistance Program at Christ Episcopal Church""}]","[{""Site_Id"":333}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[15,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-Th, 8am-5pm; F, 8am-3pm.","[{""taxonomy_code"":""BD-1800.2250""},{""taxonomy_code"":""BH-1800.5000""},{""taxonomy_code"":""BT-8300.2500""},{""taxonomy_code"":""LH-5100.6500""},{""taxonomy_code"":""BV-8900.9300-950""},{""taxonomy_code"":""BV-8900.9300-250""},{""taxonomy_code"":""BV-8900.9300-180""}]","[{""scope"":""city"",""city"":""Custer"",""state"":""WA""},{""scope"":""city"",""city"":""Point Roberts"",""state"":""WA""},{""scope"":""zip"",""zip"":""98230""},{""scope"":""city"",""city"":""Blaine"",""state"":""WA""}]","Community Assistance Program, , Utility Payment Assistance, (Christ Episcopal Church)",,,"[""General""]",,
4967,5731,"[{""Contact_Id"":1957}]",2021/09/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Fundraising offered at Whatcom Hospice Foundation,,,"An independent, charitable organization established solely to help support and enhance hospice services in the community.",360-733-1231,,,khaggen@peacehealth.org,http://whatcomhospice.org,"[{""Program_Id"":10605,""Name"":""Fundraising""}]","[{""Program_Id"":10605}]","[{""Site_Id"":6845,""Name"":""Whatcom Hospice Foundation""}]","[{""Site_Id"":6845}]","{""open"":{""Monday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Friday"":[[[8,30],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8:30am-5pm","[{""taxonomy_code"":""TD-1200""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Whatcom Hospice, Hospice of Whatcom County, Fundraising, Whatcom Hospice Foundation",,,,,
4967,9991,"[{""Contact_Id"":1957}]",2021/09/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Grief Support Group offered at Whatcom Hospice,,,Grief group provides an atmosphere of trust and caring that enables members to share feelings and concerns about the loss of a loved one.  Call for meeting times.,360-733-5877,4664,,mwalsh3@peacehealth.org,http://whatcomhospice.org,"[{""Program_Id"":8428,""Name"":""Grief Support Group""}]","[{""Program_Id"":8428}]","[{""Site_Id"":4659,""Name"":""Whatcom Hospice""}]","[{""Site_Id"":4659}]","{""open"":{""Monday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Friday"":[[[8,30],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8:30am-5pm","[{""taxonomy_code"":""PN-8100.1000-250""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Whatcom Hospice, Hospice of Whatcom County, Grief Support Group, (Whatcom Hospice)",,,,,
4967,9992,"[{""Contact_Id"":1957}]",2021/09/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",End of Life Care offered at Whatcom Hospice,,,"Whatcom Hospice offers medical, psycho-social, spiritual, and personal care to people and their families who are facing a life threatening illness.",360-733-5877,,,info@whatcomhospice.org,http://whatcomhospice.org,"[{""Program_Id"":4111,""Name"":""End of Life Care""}]","[{""Program_Id"":4111}]","[{""Site_Id"":4659,""Name"":""Whatcom Hospice""}]","[{""Site_Id"":4659}]","{""open"":{""Monday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Friday"":[[[8,30],[17,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8:30am-5pm","[{""taxonomy_code"":""RP-1400.8000-850""},{""taxonomy_code"":""RP-1400.8000-300""},{""taxonomy_code"":""RP-1400.8000-145""},{""taxonomy_code"":""RP-1400.8000-100""},{""taxonomy_code"":""PN-8100.8600""},{""taxonomy_code"":""LT-3000.3300""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Whatcom Hospice, Hospice of Whatcom County, End of Life Care, (Whatcom Hospice)",,,,,
4968,18889,"[{""Contact_Id"":2053}]",2021/06/30,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Senior Center offered at Blaine Community/Senior Center,,,Serving the Blaine community as a meeting place that promotes activities for local seniors.,360-332-8040,,,,www.blaineseniorcenter.org,"[{""Program_Id"":133,""Name"":""Senior Center""}]","[{""Program_Id"":133}]","[{""Site_Id"":147,""Name"":""Blaine Community\/Senior Center""}]","[{""Site_Id"":147}]","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-4pm.","[{""taxonomy_code"":""BD-5000.1470""},{""taxonomy_code"":""PS-8000.6000""},{""taxonomy_code"":""TC-5000""},{""taxonomy_code"":""TC-5500.8000""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Blaine Community/Senior Center, Blaine Community Center, Blaine Community Senior Center, Blaine Senior Center, Senior Center, (Blaine Community/Senior Center)",,,,,
4973,15051,"[{""Contact_Id"":2862}]",2021/09/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Parks, Trails, and Camping offered at Whatcom County Parks and Recreation Department",,,"Oversees parks, trails, picnic shelter rentals, campsites/campgrounds, a rifle range, and facility rentals.",360-778-5850,,,parks@co.whatcom.wa.us,http://www.co.whatcom.wa.us/1913/Parks-Trails,"[{""Program_Id"":263,""Name"":""Parks, Trails, and Camping""}]","[{""Program_Id"":263}]","[{""Site_Id"":298,""Name"":""Whatcom County Parks and Recreation Department""}]","[{""Site_Id"":298}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 8am-4:30pm","[{""taxonomy_code"":""PL-6400.6500-150""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Whatcom County Parks and Recreation Department, , Parks, Trails, and Camping, (Whatcom County Parks and Recreation Department)",,,,,
